DNN,EFFECTIVE_DATE,EXPIRY_DATE,OUTPUT_DNN
nrphone.aapl,20200101000000,20381231235959,privateRouting5G
nrphone.msft,20220101000000,,privateRouting5G
nrphone.goog,20220101000000,20231231235959,privateRouting5G
nrphone.amzn,20210101000000,20311231235959,privateRouting5G
nrphone.tsla,20210101000000,,privateRouting5G
nrphone.brk-a,20200101000000,20211231235959,privateRouting5G
testnrphonestt2enrz1,20200101000000,20381231235959,nrphone
testnrhotspotstt2enrz1,20200101000000,20381231235959,nrhotspot
testimsstt2enrz1,20200101000000,20381231235959,ims
testnrphonelso1anrz1,20200101000000,20381231235959,nrphone
testnrhotspotlso1anrz1,20200101000000,20381231235959,nrhotspot
testimslso1anrz1,20200101000000,20381231235959,ims
testnrphoneatn3anrz1,20200101000000,20381231235959,nrphone
testnrhotspotatn3anrz1,20200101000000,20381231235959,nrhotspot
testimsatn3anrz1,20200101000000,20381231235959,ims
testnrphonewas4anrz1,20200101000000,20381231235959,nrphone
testnrhotspotwas4anrz1,20200101000000,20381231235959,nrhotspot
testimswas4anrz1,20200101000000,20381231235959,ims
testnrphonegdr2anrz1,20200101000000,20381231235959,nrphone
testnrhotspotgdr2anrz1,20200101000000,20381231235959,nrhotspot
testimsgdr2anrz1,20200101000000,20381231235959,ims
testnrphonechg3cnrz1,20200101000000,20381231235959,nrphone
testnrhotspotchg3cnrz1,20200101000000,20381231235959,nrhotspot
testimschg3cnrz1,20200101000000,20381231235959,ims
testnrphonespd1anrz1,20200101000000,20381231235959,nrphone
testnrhotspotspd1anrz1,20200101000000,20381231235959,nrhotspot
testimsspd1anrz1,20200101000000,20381231235959,ims
testnrphonercs3anrz1,20200101000000,20381231235959,nrphone
testnrhotspotrcs3anrz1,20200101000000,20381231235959,nrhotspot
testimsrcs3anrz1,20200101000000,20381231235959,ims
test.onstarwifi,20200101000000,20381231235959,onstarwifi
test.onstarihu,20200101000000,20381231235959,onstarihu
test.attm2mglobal5g,20200101000000,20381231235959,attm2mglobal5g
test.onstar01.v6,20200101000000,20381231235959,onstar01.v6
test5gcbbanddtr1bnrz1,20200101000000,20381231235959,nrphone
test5gcbbandokc2bnrz1,20200101000000,20381231235959,nrphone
testattm2mchg3cnrz1,20200101000000,20381231235959,attm2mglobal5g
testimsdtr1bnrz1,20200101000000,20381231235959,ims
testimsokc2bnrz1,20200101000000,20381231235959,ims
testnrhotspotdtr1bnrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotokc2bnrz1,20200101000000,20381231235959,nrhotspot
testnrphonedtr1bnrz1,20200101000000,20381231235959,nrphone
testnrphoneokc2bnrz1,20200101000000,20381231235959,nrphone
testonstarchg3cnrz1,20200101000000,20381231235959,onstar01.v6
testonstarihuchg3cnrz1,20200101000000,20381231235959,onstarihu
testonstarppchg3cnrz1,20200101000000,20381231235959,onstar01.v6
testonstarwfchg3cnrz1,20200101000000,20381231235959,onstarwifi
test5gcbbandakr4anrz1,20200101000000,20381231235959,nrbroadband
test5gcbbandalp5cnrz1,20200101000000,20381231235959,nrbroadband
test5gcbbandavo1anrz1,20200101000000,20381231235959,nrbroadband
test5gcbbandbhm6anrz1,20200101000000,20381231235959,nrbroadband
test5gcbbandcrc1anrz1,20200101000000,20381231235959,nrbroadband
test5gcbbandfro2bnrz1,20200101000000,20381231235959,nrbroadband
